question,answer
"เรากำลังเตรียม internal control audit ของบัญชี KBANK-OPER (central operating account) สำหรับช่วง 2024-10-01 ถึง 2025-06-30 และพบว่ามีกลุ่มรายการที่ดูเหมือนถูก flag ไว้ในระบบ ว่าเกี่ยวข้องกับ approval irregularity ของ Operations Manager (Ollie Logistics / EMP-L3-00008) บางรายการเป็น vendor payment ของ V-013 PayWise และบางรายการเป็น refund payout ให้ลูกค้า. ช่วยช่วยทำ taxonomy breakdown ของ violations กลุ่มนี้ให้หน่อย โดยแยกออกเป็น 3 categories ตามที่ระบบ flag ไว้ (1) missing co-signer, (2) wrong-tier (signed above ceiling), (3) late-signing (posting_date มาทีหลัง business_event_date) แล้วตอบทั้ง count และ total THB amount per category. กรุณาระบุด้วยว่ารวมทั้งหมดกี่รายการ และยอดรวมทั้งหมดเป็น THB เท่าไหร่ครับ.","Tool error from postgres_group_by: column ""violation_category"" does not exist
LINE 1: SELECT * FROM (SELECT ""violation_category"", SUM(""paid_amount...
                              ^"
"เรากำลังเตรียมเอกสารให้ผู้ตรวจสอบบัญชีภายนอกเรื่อง 'สัญญาณเปลี่ยนผ่านอำนาจอนุมัติ' ของช่วงต้นปี 2568 ขอช่วยตอบครบทุกข้อด้วยครับ:

(1) จาก DIM_EMPLOYEE ใครคือ 'Founder & CEO' และใครคือ 'Incoming CEO' (employee_id + ชื่อภาษาอังกฤษทั้ง first name + last name ของทั้งสองคน)?

(2) วันที่ใดที่ memo / minutes / email ภายในของบริษัทแจ้งเรื่องการเปลี่ยนผ่าน CEO อย่างเป็นทางการ (ระบุเป็น ISO date YYYY-MM-DD)?

(3) ระหว่างวันที่ 2024-01-01 ถึง 2025-12-31, DIM_SIGNING_AUTHORITY_LADDER (ผ่าน DIM_POLICY_VERSION) ถูกเปลี่ยนเวอร์ชันกี่ครั้ง (a single integer count of distinct ladder-version cutovers in this window)? และวันที่ของการเปลี่ยน (effective_date) คือวันอะไร?

(4) ใน FACT_REFUND_PAID, นับจำนวน refund rows ที่ business_event_date อยู่ก่อนวัน PM1 cutover (signing-authority ladder change) และจำนวนที่อยู่ตั้งแต่วัน PM1 cutover เป็นต้นไป (give both counts as integers, treating the cutover date as inclusive of post-window).

(5) FACT_VENDOR_PAYMENT มีแถวที่ใส่ EMP-L3-00001 ในช่อง cosig_employee_id ในวันที่ 2025-09-10 (8 เดือนหลังการประกาศเปลี่ยน CEO) นี่เป็นข้อมูล anachronistic / data-quality concern หรือไม่? อธิบายสั้นๆว่าทำไม flag (หรือไม่ flag) แถวนี้ออกมา

กรุณาตอบทุกข้อให้ครบ โดยอ้างอิงตามข้อมูลที่ปรากฏใน public data lake ของ FahMai เท่านั้น.",ERROR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
"ทีม Quality / Vendor-Management กำลังเตรียม case file สำหรับวงประชุม steering ของไตรมาส ขอ end-to-end ของ batch-defect cluster ที่แสดงตัวในช่วงเดือนเมษายน-พฤษภาคม 2568 (Q2 calendar 2025) เห็นชัดเฉพาะกับสินค้า WatchKit smartwatch (sku_id WK-SW-004) ที่สาขา FahMai Phuket Festival เท่านั้น. คำว่า 'HDY cluster' ปรากฏใน return_reason text เป็น narrative reference; the physically-observed branch_code ใน data lake คือ branch อื่น ไม่ใช่ HDY (ไม่มี branch_code HDY ใน DIM_BRANCH เลย) โปรดยึด branch_code จริงตามที่ FACT_RETURN บันทึก, ไม่ใช่ literal 'HDY' จาก reason string. ขอช่วยตอบทั้ง 7 ข้อโดยอ้างอิงเฉพาะข้อมูลใน public data lake:

(1) ระบุ branch_code (เป็น code ตามที่ปรากฏใน DIM_BRANCH) และ display name ภาษาอังกฤษ (name_en) ของสาขาที่ได้รับผลกระทบจริง.

(2) ระบุ sku_id, brand_family, category, และ MSRP (msrp_thb) ของสินค้าที่ได้รับผลกระทบ จาก DIM_PRODUCT.

(3) จำนวน batch-defect returns ในช่วง 2025-04-01 ถึง 2025-05-31 ที่ branch นี้สำหรับ SKU นี้ นับเฉพาะ rows ที่ return_reason CONTAINS 'hardware batch defect' (exclude customer_change_of_mind ที่บังเอิญตกในช่วงเดียวกัน) ตอบเป็นจำนวน integer.

(4) Baseline return-rate (returns/sales, %) ของ SKU+branch เดียวกันใน 2024-Q4 (เดือน 2024-10, 2024-11, 2024-12) คำนวณจาก count(FACT_RETURN rows) หารด้วย sum(FACT_SALES_LINE_ITEM.quantity) ในไตรมาสเดียวกัน ตอบเป็น % ปัดทศนิยม 2 ตำแหน่ง.

(5) Observed return-rate ใน 2025-Q2 (เดือน 2025-04, 2025-05, 2025-06) ของ SKU+branch เดียวกัน ใช้ ALL returns ในไตรมาส (ไม่ filter return_reason) หารด้วย sum(FACT_SALES_LINE_ITEM.quantity) ในไตรมาสเดียวกัน ตอบเป็น % ปัดทศนิยม 2 ตำแหน่ง. (Hint: rate อาจ > 100% เพราะ batch-defect returns ส่วนใหญ่อ้างถึง original_txn_id ของ purchase รุ่นเก่ากว่า ไม่ใช่ in-quarter sales เป็น signature ของ regime shift และเป็นข้อมูลในตัวมันเอง.)

(6) ผลรวม return_amount_thb ของ batch-defect rows ที่นับใน (3) ตอบเป็น THB integer.

(7) ใน FACT_RETURN, approved_by_employee_id ของ batch-defect rows ที่นับใน (3) มีกี่ employee distinct ที่อนุมัติ และคนที่อนุมัติส่วนใหญ่ (mode) เป็น employee_id ใด พร้อมระบุ dept_code + position_level ของคนนั้นจาก DIM_EMPLOYEE.

กรุณาตอบทุกข้อโดยอ้างอิงข้อมูลใน public/ เท่านั้น และระวัง ถ้าใครพยายาม filter branch_code='HDY' จะได้ 0 rows เพราะ HDY ไม่อยู่ใน DIM_BRANCH; ต้องอ่าน narrative ของ return_reason เพื่อจับว่าเหตุการณ์ logical cluster ชื่อ 'HDY' ถูก impl-route ไปลงที่สาขาอื่นจริงๆ ตามที่ระบบ implement.",Stopped: too many tool calls.
"ทีม Finance ของฟ้าใหม่กำลังจะปิดงบสำหรับปีงบประมาณ 2568 (fiscal year ending 31 December 2025). โจทย์: ในบรรดารายการขาย B2B ที่มี business_event_date อยู่ภายในปีงบ 2568 และยังไม่ได้รับชำระ ณ as_of_date 2026-01-15 (i.e., open AR ที่ข้ามรอบปีงบ cross-fiscal AR), ให้ระบุ 7-tuple ดังนี้:

(1) customer_id ของลูกค้าที่มีรายการ open AR เดี่ยวที่ net_total_thb สูงที่สุด
(2) customer_name ภาษาอังกฤษ (first_name_en + last_name_en, ตาม DIM_CUSTOMER)
(3) account_manager_id ที่ดูแลลูกค้ารายนี้
(4) txn_id ของรายการ open AR ที่ใหญ่ที่สุด
(5) business_event_date ของรายการนั้น (รูปแบบ YYYY-MM-DD)
(6) net_total_thb ของรายการนั้น (THB, แสดงเป็นตัวเลขรวม 2 ตำแหน่งทศนิยม)
(7) total cross-fiscal open AR (THB) ของลูกค้ารายนี้ ซึ่ง = ผลรวม net_total_thb ของ pending B2B sales ทั้งหมดของลูกค้านี้ที่ business_event_date อยู่ภายใน FY2568 และ payment_received_date ยังว่าง (NULL) ณ 2026-01-15

Note: ใช้ as_of_date = 2026-01-15 (release snapshot). ปีงบ FY2568 = ปี ค.ศ. 2025 ตาม DIM_DATE (fiscal_year column).","The query returned no results, indicating there are no B2B sales with unpaid status within the fiscal year 2025 (2025-01-01 to 2025-12-31) that have not been paid by 2026-01-15. Therefore, the 7-tuple cannot be determined as no such records exist in the system."
"ทีม Vendor-Quality กำลังเตรียม audit case file สำหรับ steering committee ใน FACT_WARRANTY_CLAIM พบ cluster ของ claim ที่ผิดปกติ ที่ผูกกับ batch identifier ของ supplier V-004 (อยู่ใน text ของ claim_reason ในรูปแบบ 'vendor batch defect (...)' ตามด้วย sku reference). อยากให้ช่วยทำ end-to-end reconciliation จาก public data lake เท่านั้น และตอบเป็น 6 ส่วนดังนี้:

(1) **Batch identifier**: ระบุ literal string ของ batch id ที่ปรากฏในวงเล็บใน claim_reason ของ cluster นี้ ทุก row ใน cluster ใช้ batch_id เดียวกัน. (รูปแบบ: ตัวอักษร-ตัวเลข, มี dash, มี ค.ศ./พ.ศ.).

(2) **SKU + spec**: SKU ที่ได้รับผลกระทบทั้ง cluster (sku_id), brand_family, category, และ msrp_thb จาก DIM_PRODUCT ให้ตอบทุก field. (Hint: เป็น flagship monitor ของ FahMai's house brand DIM_PRODUCT.is_third_party = false; vendor_id ใน DIM_PRODUCT ของ row นี้ว่างเปล่า; warranty_months = 24.)

(3) **Cluster size + cost**: จำนวน claim rows ทั้งหมดใน cluster (filter: claim_reason CONTAINS the batch identifier from (1)) ตอบเป็น integer; รวมทั้ง sum ของ claim_amount_thb ของ rows ใน cluster เป็น THB integer. (Hint: claim_amount_thb ของ rows ใน cluster ถูกบันทึกเต็มจำนวน MSRP ในขณะที่ rows ที่มี claim_reason='defect' แบบทั่วไปสำหรับ SKU เดียวกัน มี claim_amount_thb เป็น empty/null เป็นสัญญาณว่า cluster นี้ถูก approve เป็น full refund เท่ากับ MSRP.)

(4) **Date window**: business_event_date ของ row แรกใน cluster (min) และ row สุดท้าย (max) ตอบเป็น YYYY-MM-DD ทั้งสอง. ระบุด้วยว่า cluster spans กี่เดือนปฏิทินเต็ม (calendar months containing ≥1 cluster row, นับ inclusive).

(5) **Baseline lift vs pre-window**: คำนวณ baseline rate ของ generic 'defect' claims (claim_reason exactly equal to 'defect', ไม่ contains batch identifier) สำหรับ SKU เดียวกัน ในช่วง pre-window 11 calendar months ก่อนหน้า window จาก (4) (เช่นถ้า window เริ่ม 2024-12-01 ก็เป็น 2024-01-01..2024-11-30) ตอบเป็น rows-per-month รูปแบบเดียวกัน. คำนวณรวมในระหว่าง window count: cluster_rows + generic_defect_rows ในช่วงเดียวกันแล้วหารด้วย months ของ window จาก (4) ตอบเป็น rows-per-month. ระบุ lift ratio (window combined rate / pre-window baseline rate) ปัดทศนิยม 1 ตำแหน่ง ตอบเป็น 'Xx' or 'X เท่า'.

(6) **Phantom-warranty signature (the kill check)**: จากรายชื่อ distinct customer_id ของ rows ใน cluster (มีกี่ราย unique?) ลองตรวจสอบใน FACT_SALES + FACT_SALES_LINE_ITEM ว่า customer เหล่านี้ **เคยซื้อ SKU จาก (2)** ในข้อมูลใน data lake **ก่อน** วันที่ของ claim ของพวกเขาหรือไม่ (join FACT_SALES_LINE_ITEM.sku_id = the SKU, join FACT_SALES.txn_id, filter FACT_SALES.customer_id IN cluster's distinct customers, filter business_event_date < claim's business_event_date). ระบุจำนวน distinct cluster-customers ทั้งหมด, จำนวน cluster-customers ที่มี matching prior purchase ของ SKU ที่ affected ใน FACT_SALES_LINE_ITEM, และจำนวนที่ **ไม่มี** matching prior purchase และ comment สั้นๆ ว่าผลที่ได้บ่งชี้ data-lake anomaly แบบใด (เช่น 'warranty claims บันทึกไว้ แต่ไม่มี matching FACT_SALES purchase record ในระบบ' = phantom-warranty signature).

กรุณาตอบทุกส่วนโดยอ้างอิงเฉพาะข้อมูลใน public/ folder เท่านั้น และระวัง:
- claim_reason ของ cluster ใช้ string ที่ **ต่าง** จาก 'defect' agent ที่ filter `claim_reason='defect'` (exact match) จะ miss cluster ทั้ง 35 rows.
- ในทางกลับกัน agent ที่ filter `claim_reason CONTAINS 'defect'` (substring) จะได้ทั้ง cluster (35) + generic defect (36) รวมกัน ต้องแยกออกจากกันให้ถูก.
- การ join FACT_SALES_LINE_ITEM → FACT_SALES ต้องผ่าน txn_id เพราะ customer_id ไม่อยู่บน LINE_ITEM table โดยตรง.",Stopped: too many tool calls.
"ทีม Data Engineering กำลังจะ rebuild dashboard ของ POS logs และพบว่าไฟล์ pos_*.tsv ใน public/logs/ มี schema ไม่เหมือนกันระหว่างต้นปีกับกลางปี 2025 ครับ ช่วย reconcile ให้ทีหน่อย โดยตอบคำถามต่อไปนี้ทั้งหมด (เป็น tuple เดียวกัน เพราะ downstream pipeline ต้องใช้ครบ 6 ค่า):

(1) วันที่ schema_version flip จาก 1 เป็น 2 เริ่มมีผล (cutover date ใช้รูปแบบ YYYY-MM-DD)
(2) ใน v1 มี discount column ชื่ออะไร และใน v2 column นั้นถูก rename เป็นชื่ออะไร (ตอบทั้งสองชื่อ)
(3) v2 schema เพิ่ม column ใดบ้างที่ไม่มีใน v1 (ตอบให้ครบทุก column ที่เพิ่ม โดยใช้ชื่อ column ตามไฟล์)
(4) สำหรับสาขา BKK-CTW ในเดือน March 2025 (ก่อน cutover) ตอบจำนวน POS log line ทั้งหมด (excluding header rows)
(5) สำหรับสาขา BKK-CTW ในเดือน April 2025 (หลัง cutover) ตอบจำนวน POS log line ทั้งหมด
(6) สำหรับสาขา BKK-CTW ในเดือน March 2025 (v1) total gross revenue = SUM(quantity × unit_price_thb) เป็นเงินบาทเท่าไหร่ (round เป็นเลขจำนวนเต็ม THB ได้)

Note: เมษายน 2025 ที่สาขา BKK-PKT มีการปิด renovation บางช่วง แต่ BKK-CTW ดำเนินงานเต็มเดือน ขอ figures ของ BKK-CTW ตามที่ปรากฏใน public/logs/ เท่านั้น","{
  ""tool"": ""postgres_describe_table"",
  ""arguments"": {
    ""table"": ""public."" + ""logs.pos_BKK-CTW_20240101.tsv"",
    ""schema"": ""public""
  }
}"
"ทีม Brand Marketing กำลังเตรียม launch postmortem สำหรับ SF-Galaxy-Pro-2568 (E5 flagship launch ของ SaiFah, แคมเปญ SF-LAUNCH-2568) อยากเข้าใจ shape ของ demand curve และเหตุการณ์ระหว่างทาง โดยอ้างอิงเฉพาะ public corpus (ไม่ดูข้อมูล CRM ภายนอก). รบกวน reconcile ออกมาเป็น 5-tuple ดังนี้:

(1) จำนวน units ของ SF-Galaxy-Pro-2568 ที่ขายในช่วง preorder phase (คือก่อนวัน launch 2025-07-01 ถึง 2025-07-14) เป็นเท่าไหร่ครับ และมี daily pattern อะไรที่ผิดปกติ (กระจาย uniform หรือเปล่า)?

(2) จำนวน units ที่ขายในวัน launch (2025-07-15) และเทียบกับค่าเฉลี่ย daily preorder แล้วเป็น spike กี่เท่า?

(3) จำนวน units ที่ขายในช่วง post-launch ของเดือนเดียวกัน (2025-07-16 ถึง 2025-07-31) sustained demand หรือเงียบลง?

(4) ยอดรวม units ในตลอด campaign window ของ SF-LAUNCH-2568 (2025-07-15 ถึง 2025-07-31 ตาม DIM_PROMO_CAMPAIGN) และยอดรวม units ตลอดทั้งเดือนกรกฎาคม 2025 ของ SKU นี้ (รวม preorder + launch window) ใกล้เคียงกันหรือเปล่า แสดงว่าอะไร?

(5) ข้อสำคัญที่สุด discount-mechanic resolution: ถ้าเช็ก FACT_SALES_LINE_ITEM ที่มี sku_id = SF-Galaxy-Pro-2568 จะเห็นว่า line_discount_thb = 0.00 ทุก row (ไม่มีส่วนลดที่ระดับ line item) แต่ FACT_SALES.discount_total_thb ของ txn ที่ tagged promo_campaign_id='SF-LAUNCH-2568' กลับมียอดรวมหลายล้านบาท ความขัดแย้งนี้อธิบายอย่างไร? ค่า total discount cost ของแคมเปญเป็นเท่าไหร่ (THB) และตรงกับ rate ที่กำหนดใน dim_promo_mechanic หรือไม่? อ้างอิง promo_mechanic_id ใดบ้างที่ผูกกับ SF-LAUNCH-2568.",Stopped: too many tool calls.
"ขอวิเคราะห์เคส recall ของ NovaTech laptop NT-LT-001 (battery issue จาก vendor V-002) ให้ครบ 6 ประเด็นนี้ครับ ใช้ข้อมูลใน data lake ทั้งหมด (ตาราง DIM/FACT + เอกสาร) เท่านั้น ไม่ต้องอ้างความรู้นอก data:

(1) recall_status state machine ของ NT-LT-001 มีกี่ transitions และวันที่ของแต่ละ transition คือเมื่อไหร่ (resolve at the recall-history table's transition_date D70 state-machine semantics) ตอบเป็น list ของ (status, date)
(2) recall window เริ่มและจบวันที่เท่าไหร่ (จาก state = 'active' ถึง state = 'completed')
(3) ในช่วง recall window นั้น มี vendor-recall returns ของ NT-LT-001 ทั้งหมดกี่ใบ (filter FACT_RETURN by sku + return_reason ที่ระบุว่าเป็น vendor recall)
(4) ยอด refund ที่จ่ายออกไปสำหรับ vendor-recall returns เหล่านั้นเป็นเงินกี่บาท
(5) **Lost revenue** ของช่วง recall เทียบยอดขาย NT-LT-001 ใน recall window (35 วัน, 2025-09-10 ถึง 2025-10-15) กับ baseline ที่เป็น 35-day window ทันทีก่อน recall start (2025-08-05 ถึง 2025-09-09) เป็นกี่บาท (compute: baseline_revenue - recall_window_revenue)
(6) มี early-warning signals ใน warranty claim data ก่อน recall start (claim_reason ที่บ่งชี้ pre-recall battery concern) ทั้งหมดกี่ claim

ต้องตอบครบทั้ง 6 ข้อ พร้อมตัวเลขที่ตรง","Tool error from postgres_sample_rows: relation ""public.DIM_PRODUCT_RECALL_HISTORY"" does not exist
LINE 1: SELECT * FROM (SELECT * FROM ""public"".""DIM_PRODUCT_RECALL_HI...
                                     ^"
"ทีม Quality Risk ขอให้ช่วยทำ retrospective ดูว่า ก่อนที่ NovaTech Powercell X3 (SKU: NT-LT-001) จะถูกประกาศ active recall เมื่อ 2025-09-10 นั้น มี early-warning signal อะไรที่ ""ปรากฏใน data lake แล้ว"" แต่ยังไม่ได้ถูกหยิบขึ้นมาเป็นทางการบ้าง ขอข้อมูล 4 ส่วนนี้ครับ:

(1) **จำนวน claim** ที่บ่งบอกถึง pre-recall battery concern signal ของ NT-LT-001 ที่ปรากฏใน FACT_WARRANTY_CLAIM ก่อนวันที่ recall_status เปลี่ยนเป็น active (จาก dim_product_recall_history) เป็นกี่ claim

(2) **Date range** (วันที่แรกสุด → วันที่ล่าสุด) ของ claim cluster นี้ และ **gap (จำนวนวัน)** ระหว่างวันที่ล่าสุดของ pre-recall claim กับวันที่ recall_status เปลี่ยนเป็น active

(3) **Routing/handling signature ที่แตกต่าง** pre-recall cluster นี้ถูกส่ง route ไปที่ destination ไหน และต่างจาก normal NT-LT-001 warranty claim ใน corpus เดียวกันยังไง (ระบุชื่อ routing destination ทั้งสองค่า) รวมทั้งบอกด้วยว่าใน column ไหนยังมี signature อื่นที่ไม่เหมือน normal claim (เช่น column ที่ค่าว่างของ pre-recall cluster แต่มีค่าใน normal cluster)

(4) **Cross-modal corroboration** ใน customer-facing channel (chat_line_oa) ช่วง window เดียวกัน (2025-07 ถึง 2025-09) มี chat ที่พูดถึง Powercell X3 อยู่บ้างไหม และ tone โดยรวมเป็นอย่างไร เป็น signal ที่ corroborate กับ warranty cluster ไหม (หรือ stable baseline ที่ไม่บ่งบอก spike) ขอประเมินสั้น ๆ พร้อมระบุว่ามี Powercell X3 chats ในช่วง window อย่างน้อยกี่ thread (order-of-magnitude OK) เพื่อให้เห็นว่า product family นี้มี customer engagement ต่อเนื่องไม่ว่าจะมี recall หรือไม่

คำตอบทั้ง 4 ส่วนต้องอ้างจาก public data lake เท่านั้น DIM/FACT tables + customer chats ไม่ใช่ความรู้นอก data หรือ memo/minutes ที่ออกในวัน recall (ซึ่งใน corpus เป็น template-bare และไม่ระบุ recall เป็น subject)",Tool error from domain_file_catalog_search: TypeError: FahMaiDomainTools.file_catalog_search() missing 1 required positional argument: 'query'
"Head of CS Ops ขอ refund-cluster shape analysis สำหรับ CS-tier IC agent ที่อยู่ใน support department (dept_code='SUP' + position_level='IC') ของ FahMai เพื่อตรวจดู refund-amount distribution signature ว่าเปลี่ยนแปลงอย่างไรหลังจาก PM1 cutover (DIM_POLICY_VERSION policy_class='signing_authority', effective 2025-02-15 ladder version flip) โดย scope ของ analysis คือ FACT_REFUND_PAID ทุกแถวที่ (a) approver_employee_id เป็น SUP IC slot คนแรก (sort by employee_id ASC) AND (b) cosig_employee_id IS NULL.

รบกวนช่วยทำ refund-amount bucketing ด้วย bucket width = ฿1,000 (โดยใช้ floor-of-amount/1000 ดังนั้น refund 4,250 บาท → bucket [4000, 4999], refund 7,250 บาท → bucket [7000, 7999]) แล้ว split เป็น 2 window ด้วย business_event_date เทียบกับ PM1 effective_date (2025-02-15):
 • pre-PM1 window = business_event_date < 2025-02-15
 • post-PM1 window = business_event_date ≥ 2025-02-15

กรุณา report เป็น 6-tuple ดังนี้:
 (1) pre-PM1 mode-bucket range (ในรูปแบบ '฿X,000–฿X,999' หรือ 'X000-X999')
 (2) pre-PM1 mode-bucket count (จำนวน refund ใน mode-bucket นั้น)
 (3) post-PM1 mode-bucket range
 (4) post-PM1 mode-bucket count
 (5) PM1 policy reference (ระบุ policy_version_id ใหม่ของ signing_authority หลัง 2025-02-15 หรือ refer ถึง policy_class + effective_date เพื่อระบุการเปลี่ยน)
 (6) PM1 effective_date (ISO date)

หมายเหตุประกอบ:
 • หาก SUP IC slot คนแรก (sort by employee_id ASC) ไม่มี refund record ใน FACT_REFUND_PAID, ขอให้ใช้ tiebreak rule = ใช้ SUP IC คนที่มี refund record ที่ approver_employee_id ตรงและ cosig_employee_id IS NULL แทน (ในตอนนี้มี SUP IC เพียงคนเดียวที่ปรากฏเป็น approver ในตาราง refund ดังนั้น slot resolution จะ unique โดยอัตโนมัติ).
 • หาก mode-bucket มี tie (หลาย bucket มี count เท่ากันสูงสุด) ขอให้ report bucket ที่มีค่า refund_amount เฉลี่ยต่ำที่สุด (lower-amount-tie-break) เพื่อความ deterministic.
 • ขอ cross-reference กับ MEMO-PM1-2025-02-15.md (memo announcement ฉบับนี้ confirm boundary date body ไม่ enumerate ladder mechanic แต่ระบุวันประกาศ) แยกจาก MEMO-PM-REFUND-2025-03-15.md (PM-REFUND คือ refund_threshold_thb 2K→5K cutover ที่ effective 2025-03-15 ไม่ใช่ PM1, ห้ามสับสน).
 • Bank-side corroboration: ทุก refund ใน scope นี้มี FACT_BANK_TRANSACTION KBANK-OPER withdrawal companion ที่ description ระบุ 'L1 over-threshold refund payout' ใช้เพื่อยืนยันว่า refund payout เกิดขึ้นจริง (cross-modal).

คำเตือน: agent ที่ bucket mode ของ refund_amount over the entire fiscal window (ไม่ split pre/post PM1) จะได้ mode-bucket ที่ dilute ทั้ง pre + post signature เข้าด้วยกัน เป็น anti-shortcut หลัก. agent ที่ใช้ PM-REFUND boundary (2025-03-15) แทน PM1 boundary (2025-02-15) ก็จะ misplace 2025-03-04 row (5500 บาท) จาก post window ไปอยู่ใน pre window เปลี่ยน partition + เปลี่ยน count.",Repeated tool blocked: postgres_describe_table. Use the previous tool result to answer; do not call more tools.
"ทีม Sales Strategy ของฟ้าใหม่กำลังออกแบบ B2B subscription pilot program สำหรับลูกค้า enterprise โจทย์: ระบุลูกค้า B2B ที่เป็น ""top-spending account"" ของบริษัทตั้งแต่เริ่ม operate ถึงปัจจุบัน (all-time, ทุกปีรวมกัน ไม่ใช่ปีล่าสุดเพียงปีเดียว) เพื่อใช้เป็น anchor account ของ pilot. ขอข้อมูล 3 ส่วนตามนี้ครับ:

(1) **customer_id ของลูกค้า B2B ที่มียอดซื้อรวมตลอดอายุการเป็นลูกค้า (sum ของ FACT_SALES.net_total_thb ทั้งหมด ไม่จำกัดปี) สูงสุดเป็นอันดับ 1** ในฐานข้อมูล (กรอง is_b2b=true). ขอ customer_id (รูปแบบ CUST-L3-B2B-XXXXXX) พร้อมยอดรวมทั้งหมด (THB)

(2) **SKU หลัก (top SKU) ที่ลูกค้ารายนี้ซื้อมากที่สุด** เมื่อจัดอันดับ line_total_thb (sum) ตาม sku_id จาก FACT_SALES_LINE_ITEM ของลูกค้ารายนี้ ขอ sku_id และชื่อ brand_family + category ตาม DIM_PRODUCT เพื่อยืนยัน product identity

(3) **จำนวน distinct calendar months ที่ลูกค้ารายนี้มีรายการซื้อ (transactional months active)** นับ distinct YYYY-MM ของ FACT_SALES.business_event_date ทั้งหมดของลูกค้ารายนี้ (ลูกค้าอาจมีเดือนที่ไม่มีกิจกรรม ไม่นับเดือนว่าง). ใช้ตัวเลขนี้เพื่อประเมินความต่อเนื่องของลูกค้าก่อนชวนเข้าโปรแกรม subscription รายเดือน

ข้อสำคัญ: คำถามถามถึงข้อมูล **all-time / ตลอดอายุ** ของ FACT_SALES ไม่ใช่ปีเดียว. หากกรองเฉพาะปี 2024 ผลที่ได้จะเป็นคนละลูกค้า (ไม่ตรงโจทย์ อันดับลูกค้าที่ใหญ่ที่สุดในปี 2024 เพียงปีเดียวเป็นข้อมูล supporting context เท่านั้น ไม่ใช่ gold). ขอกรองเฉพาะ B2B (is_b2b=true) ตลอดข้อมูลทั้งหมดในระบบ.",Repeated identical tool call blocked: postgres_group_by. Use the previous tool result to answer; do not call more tools.
"ทีม Pricing & Revenue ของฟ้าใหม่ตั้งโจทย์ post-mortem ของไตรมาส 4/2568 มี SKU หนึ่งใน catalog ที่ ""ยอดขายในหน่วย (units sold) พุ่งขึ้นมหาศาลในเดือนเดียวจน outlier ชัดเจน แต่ราคา per-unit ในเดือนนั้นกลับถูกตัด deep discount ลงไป"" ทำให้เกิดสถานการณ์ classic ของ Theory shape #3 (volume up, revenue per unit down). โจทย์: ใช้ FACT_SALES_LINE_ITEM + DIM_PRODUCT (พร้อม cross-reference FACT_SALES เพื่อยืนยัน txn identity) ตอบ 2 ส่วนตามนี้ครับ

(1) **ระบุ sku_id ของสินค้า** (รูปแบบ NT-LT-XXX, SF-XX-XXX, AW-XX-XXX, DN-LT-XXX, WK-SW-XXX, SKU-MASS-XXX, ฯลฯ) ที่มีพฤติกรรมข้างต้นในปี 2025 เกณฑ์: หนึ่งเดือนปฏิทินที่ยอดขายในหน่วย (sum quantity) ของ SKU นั้นสูงกว่าค่าเฉลี่ยรายเดือนของ SKU เดียวกันในช่วง 12 เดือนก่อนหน้าอย่างน้อย 5 เท่าขึ้นไป AND ในเดือนนั้นมีการบันทึก unit_price_thb ส่วนใหญ่ที่ต่ำกว่า msrp_thb ใน DIM_PRODUCT อย่างมีนัยสำคัญ (>= 25%). ขอชื่อ brand_family + category ตาม DIM_PRODUCT เพื่อยืนยัน product identity ด้วย.

(2) **คำนวณ ""foregone revenue"" (รายได้ที่หายไป) เป็นมูลค่า THB** กรองเฉพาะ line items ของ SKU นั้นในเดือนที่ระบุใน (1) ที่ขายในราคาส่วนลด (unit_price_thb < msrp ใน DIM_PRODUCT) แล้วคิดสูตร: foregone_revenue_THB = SUM[(msrp_thb - unit_price_thb) × quantity] เฉพาะ line items ที่เข้าเงื่อนไขส่วนลดข้างต้น. ขอตัวเลขเดียวเป็นบาท. 

หมายเหตุสำคัญสำหรับการคำนวณ:
- ใช้ **msrp_thb** ใน DIM_PRODUCT (ตาราง structured master) เป็น price anchor ไม่ใช่ราคาที่ระบุในเอกสาร product KB (`public/docs/l1_kb/products/`) ซึ่งอาจมีค่าต่างกัน (data drift ระหว่าง KB doc กับ master table เป็น quirk ของ corpus). หาก answer ใช้ราคา KB-doc แทน msrp_thb จะได้คำตอบคนละค่า ขอ anchor ที่ DIM_PRODUCT ตาม schema convention.
- ไม่ต้องหัก line_discount_thb เพิ่ม (อยู่ที่ 0 สำหรับเคสที่ระบุอยู่แล้ว discount ถูก embed ลงใน unit_price_thb โดยตรง).
- เดือนที่ระบุใน (1) ควรเป็นเดือนของปี 2025 กรองด้วย business_event_date เพื่อความชัดเจน.

ต้องการคำตอบเป็น 2-tuple: (sku_id + brand_family + category, foregone_revenue_THB).",Stopped: too many tool calls.
